n	diam	A	B
1224	8	19.92588210105896	0.3966038227081299
2426	10	22.204285621643066	0.4589135646820068
2888	9	8.985031843185425	0.9529297351837158
3425	13	40.98952507972717	0.8518657684326172
4941	46	23.37947726249695	3.3734490871429443
6301	9	54.032758712768555	1.0464367866516113
6539	9	59.75456404685974	1.1171259880065918
7115	7	137.49161219596863	1.3860728740692139
8846	9	85.0731246471405	1.4399328231811523
10876	10	110.26560878753662	1.6364057064056396
12591	10	127.86465907096863	3.451258182525638
13356	8	192.23702096939087	2.57145094871521
15763	7	120.74298071861267	3.7399826049804688
18771	14	326.6903853416443	3.2388815879821777
22908	9	2043.8921751976013	6.995698213577270
23166	20	272.592173576355	7.169681787490845
23370	15	119.52411651611328	5.328288078308105
23628	8	130.61662364006042	6.464784383773804
25042	7	146.78252959251404	8.153871774673462
26518	11	230.46640753746033	5.0705249309539795
28093	9	2973.7350957393646	12.73717546463012
34546	14	819.0632288455963	7.931497573852539
58228	18	651.929893016815	14.28146147727966
